127.0.0.1 - - [20/Jul/2026 17:17:09] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:18] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:18] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:20] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:21] "GET /prompts/regional-pricing.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:22] "GET /prompts/risk-analysis.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:23] "GET /prompts/clarification-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:24] "GET /prompts/client-summary.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:24] "GET /prompts/export-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:26] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:26] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:26] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:19:26] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:28] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:30] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:30] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:30] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:30] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:31] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:31] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:31] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:31] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:33] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:33] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:33] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:33] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:34] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:34] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:34] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:34] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:37] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:37] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:37] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:37] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:39] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:41] "GET /prompts/regional-pricing.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:41] "GET /prompts/risk-analysis.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:42] "GET /prompts/clarification-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:43] "GET /prompts/client-summary.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:43] "GET /prompts/export-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:45] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:45] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:45] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:45] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:46] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:46] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:46] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:46] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:47] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:49] "GET /prompts/regional-pricing.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:50] "GET /prompts/risk-analysis.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:50] "GET /prompts/clarification-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:51] "GET /prompts/client-summary.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:20:52] "GET /prompts/export-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:23:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:23:23] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:23:23] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:23:23] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:23:23] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:03] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:03] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:03] "GET /images/BuilderQuoteAI.png HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:03] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:10] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:11] "GET /prompts/regional-pricing.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:12] "GET /prompts/risk-analysis.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:12] "GET /prompts/clarification-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:13] "GET /prompts/client-summary.md HTTP/1.1" 200 -
127.0.0.1 - - [20/Jul/2026 17:24:14] "GET /prompts/export-generator.md HTTP/1.1" 200 -
